t,theta_num,theta_small,error
1.243107769423558828e+00,-7.176101394820084967e-02,-8.480910768715141379e-02,1.304809373895056412e-02
1.263157894736842035e+00,-8.548051116520492820e-02,-9.861261701350861053e-02,1.313210584830368233e-02
1.283208020050125242e+00,-9.913267412796079869e-02,-1.123383518583684071e-01,1.320567773040760839e-02
1.303258145363408449e+00,-1.127067816213760815e-01,-1.259754869141476719e-01,1.326870529277159039e-02
1.323308270676691656e+00,-1.261921881391666334e-01,-1.395132667507585633e-01,1.332107861159192996e-02
1.343358395989974863e+00,-1.395783339087038333e-01,-1.529410142982754461e-01,1.336268038957161286e-02
1.363408521303258070e+00,-1.528547547213655045e-01,-1.662481392677997716e-01,1.339338454643426712e-02
1.383458646616541277e+00,-1.660110915481501637e-01,-1.794241465038833305e-01,1.341305495573316686e-02
1.403508771929824483e+00,-1.790370999164644095e-01,-1.924586442619195814e-01,1.342154434545517194e-02
1.423558897243107690e+00,-1.919226590426758305e-01,-2.053413524039765792e-01,1.341869336130074863e-02
1.443609022556390897e+00,-2.046577806924673448e-01,-2.180621105066079535e-01,1.340432981414060865e-02
1.463659147869674104e+00,-2.172326177628570720e-01,-2.306108858742452195e-01,1.337826811138814742e-02
1.483709273182957311e+00,-2.296374725750032764e-01,-2.429777814518542800e-01,1.334030887685100364e-02
1.503759398496240518e+00,-2.418628048625315330e-01,-2.551530436306130301e-01,1.329023876808149707e-02
1.523809523809523725e+00,-2.538992394221428195e-01,-2.671270699404548754e-01,1.322783051831205592e-02
1.543859649122806932e+00,-2.657375734637029141e-01,-2.788904166234117410e-01,1.315284315970882689e-02
1.563909774436090139e+00,-2.773687836297061282e-01,-2.904338060817822087e-01,1.306502245207608048e-02
1.583959899749373346e+00,-2.887840326973348248e-01,-3.017481341952512608e-01,1.296410149791643596e-02
1.604010025062656553e+00,-2.999746759120313633e-01,-3.128244775011914669e-01,1.284980158916010362e-02
1.624060150375939759e+00,-3.109322669827322416e-01,-3.236541002324809790e-01,1.272183324974873742e-02
1.644110275689222966e+00,-3.216485637724320057e-01,-3.342284612072889405e-01,1.257989743485693479e-02
1.664160401002506173e+00,-3.321155336642755973e-01,-3.445392205653936002e-01,1.242368690111800289e-02
1.684210526315789380e+00,-3.423253585403580601e-01,-3.545782463457215483e-01,1.225288780536348821e-02
1.704260651629072587e+00,-3.522704394530167260e-01,-3.643376208999182242e-01,1.206718144690149819e-02
1.724310776942355794e+00,-3.619434010196155849e-01,-3.738096471368945739e-01,1.186624611727898904e-02
1.744360902255639001e+00,-3.713370954862245110e-01,-3.829868545934216884e-01,1.164975910719717733e-02
1.764411027568922208e+00,-3.804446064208039657e-01,-3.918620053259874170e-01,1.141739890518345124e-02
1.784461152882205415e+00,-3.892592521927161764e-01,-4.004280996192679520e-01,1.116884742655177565e-02
1.804511278195488622e+00,-3.977745891681340185e-01,-4.086783815067116521e-01,1.090379233857763364e-02
1.824561403508771829e+00,-4.059844145719394559e-01,-4.166063440988811983e-01,1.062192952694174242e-02
1.844611528822055035e+00,-4.138827691101472084e-01,-4.242057347153530000e-01,1.032296560520579165e-02
1.864661654135338242e+00,-4.214639393896291164e-01,-4.314705598161238109e-01,1.000662042649469452e-02
1.884711779448621449e+00,-4.287224600668618768e-01,-4.383950897286376103e-01,9.672629661775733467e-03
1.904761904761904656e+00,-4.356531157420143185e-01,-4.449738631667033428e-01,9.320747424689024285e-03
1.924812030075187863e+00,-4.422509427032658702e-01,-4.512016915377400350e-01,8.950748834474164806e-03
1.944862155388471070e+00,-4.485112304635419656e-01,-4.570736630349515051e-01,8.562432571409539506e-03
1.964912280701754277e+00,-4.544295230945777364e-01,-4.625851465112048588e-01,8.155623416627122424e-03
1.984962406015037484e+00,-4.600016203964553130e-01,-4.677317951315551059e-01,7.730174735099792915e-03
2.005012531328320691e+00,-4.652235789416264700e-01,-4.725095498015373097e-01,7.285970859910839703e-03
2.025062656641603898e+00,-4.700917129642132597e-01,-4.769146423685211578e-01,6.822929404307898071e-03
2.045112781954887105e+00,-4.746025951183835412e-01,-4.809435985936038049e-01,6.341003475220263752e-03
2.065162907268170311e+00,-4.787530571231741194e-01,-4.845932408916963641e-01,5.840183768522244634e-03
2.085213032581453518e+00,-4.825401903179523666e-01,-4.878606908376442175e-01,5.320500519691850894e-03
2.105263157894736725e+00,-4.859613461228928233e-01,-4.907433714364028976e-01,4.782025313510074316e-03
2.125313283208019932e+00,-4.890141364187741146e-01,-4.932390091554804679e-01,4.224872736706353216e-03
2.145363408521303139e+00,-4.916964338589887573e-01,-4.953456357180429648e-01,3.649201859054207464e-03
2.165413533834586346e+00,-4.940063721230370519e-01,-4.970615896552685320e-01,3.055217532231480071e-03
2.185463659147869553e+00,-4.959423461199688465e-01,-4.983855176167261147e-01,2.443171496757268191e-03
2.205513784461152760e+00,-4.975030121489051882e-01,-4.993163754377452634e-01,1.813363288840075249e-03
2.225563909774435967e+00,-4.986872880222421034e-01,-4.998534289629352756e-01,1.166140940693172201e-03
2.245614035087719174e+00,-4.994943531578956986e-01,-4.999962546252037510e-01,5.019014673080524069e-04
2.265664160401002380e+00,-4.999236486451367756e-01,-4.997447397798185920e-01,-1.789088653181836186e-04
2.285714285714285587e+00,-4.999748772874045288e-01,-4.990990827932492713e-01,-8.757944941552575635e-04
2.305764411027568794e+00,-4.996480036242874068e-01,-4.980597928867180335e-01,-1.588210737569373254e-03
2.325814536340852001e+00,-4.989432539341608353e-01,-4.966276897345834329e-01,-2.315564199577402338e-03
2.345864661654135208e+00,-4.978611162175867189e-01,-4.948039028178743415e-01,-3.057213399712377377e-03
2.365914786967418415e+00,-4.964023401602399299e-01,-4.925898705334824657e-01,-3.812469626757464258e-03
2.385964912280701622e+00,-4.945679370735974190e-01,-4.899873390597179745e-01,-4.580598013879444430e-03
2.406015037593984829e+00,-4.923591798101558670e-01,-4.869983609791214141e-01,-5.360818831034452892e-03
2.426065162907268036e+00,-4.897776026489544798e-01,-4.836252936596184826e-01,-6.152308989335997236e-03
2.446115288220551243e+00,-4.868250011461592308e-01,-4.798707973952951455e-01,-6.954203750864085265e-03
2.466165413533834450e+00,-4.835034319444279638e-01,-4.757378333082580846e-01,-7.765598636169879221e-03
2.486215538847117656e+00,-4.798152125337484808e-01,-4.712296610132366004e-01,-8.585551520511880419e-03
2.506265664160400863e+00,-4.757629209554074534e-01,-4.663498360467672188e-01,-9.413084908640234616e-03
2.526315789473684070e+00,-4.713493954396612562e-01,-4.611022070629882674e-01,-1.024718837667298876e-02
2.546365914786967277e+00,-4.665777339684448188e-01,-4.554909127982568195e-01,-1.108682117018799929e-02
2.566416040100250484e+00,-4.614512937534666071e-01,-4.495203788069816464e-01,-1.193091494648496065e-02
2.586466165413533691e+00,-4.559736906140722246e-01,-4.431953139712458967e-01,-1.277837664282632790e-02
2.606516290726816898e+00,-4.501487982453017400e-01,-4.365207067869736335e-01,-1.362809145832810653e-02
2.626566416040100105e+00,-4.439807473609719835e-01,-4.295018214295683867e-01,-1.447892593140359674e-02
2.646616541353383312e+00,-4.374739247068916148e-01,-4.221441936021267383e-01,-1.532973110476487655e-02
2.666666666666666519e+00,-4.306329719295404757e-01,-4.144536261695015433e-01,-1.617934576003893232e-02
2.686716791979949726e+00,-4.234627842714031032e-01,-4.064361845816588104e-01,-1.702659968974429283e-02
2.706766917293232932e+00,-4.159685090868653901e-01,-3.980981920899361315e-01,-1.787031699692925857e-02
2.726817042606516139e+00,-4.081555441782069305e-01,-3.894462247599770333e-01,-1.870931941822989719e-02
2.746867167919799346e+00,-4.000295359403069351e-01,-3.804871062852743235e-01,-1.954242965503261154e-02
2.766917293233082553e+00,-3.915963772603214821e-01,-3.712279026054120523e-01,-2.036847465490942977e-02
2.786967418546365760e+00,-3.828622051802234028e-01,-3.616759163332513571e-01,-2.118628884697204562e-02
2.807017543859648967e+00,-3.738333983536918370e-01,-3.518386809954555661e-01,-2.199471735823627094e-02
2.827067669172932174e+00,-3.645165742312959645e-01,-3.417239550908955370e-01,-2.279261914040042747e-02
2.847117794486215381e+00,-3.549185859443214075e-01,-3.313397159716235940e-01,-2.357886997269781348e-02
2.867167919799498588e+00,-3.450465189209327987e-01,-3.206941535512399244e-01,-2.435236536969287435e-02
2.887218045112781795e+00,-3.349076872649364156e-01,-3.097956638456155765e-01,-2.511202341932083915e-02
2.907268170426065002e+00,-3.245096297656756001e-01,-2.986528423510634300e-01,-2.585678741461217012e-02
2.927318295739348208e+00,-3.138601055903668668e-01,-2.872744772651834033e-01,-2.658562832518346353e-02
2.947368421052631415e+00,-3.029670897231714344e-01,-2.756695425557256218e-01,-2.729754716744581255e-02
2.967418546365914622e+00,-2.918387680531746020e-01,-2.638471908829397305e-01,-2.799157717023487146e-02
2.987468671679197829e+00,-2.804835320958291023e-01,-2.518167463809909967e-01,-2.866678571483810556e-02
3.007518796992481036e+00,-2.689099733951290649e-01,-2.395876973041379809e-01,-2.932227609099108401e-02
3.027568922305764243e+00,-2.571268776498564224e-01,-2.271696885434703050e-01,-2.995718910638611732e-02
3.047619047619047450e+00,-2.451432184363617484e-01,-2.145725140201092951e-01,-3.057070441625245327e-02
3.067669172932330657e+00,-2.329681505992293178e-01,-2.018061089608702841e-01,-3.116204163835903374e-02
3.087719298245613864e+00,-2.206110033218060540e-01,-1.888805420624793119e-01,-3.173046125932674211e-02
3.107769423558897071e+00,-2.080812728999360262e-01,-1.758060075505232245e-01,-3.227526534941280167e-02
3.127819548872180277e+00,-1.953886151435825225e-01,-1.625928171393988542e-01,-3.279579800418366831e-02
3.147869674185463484e+00,-1.825428374742976700e-01,-1.492513918995962974e-01,-3.329144557470137267e-02
3.167919799498746691e+00,-1.695538907130501871e-01,-1.357922540387385968e-01,-3.376163667431159032e-02
3.187969924812029898e+00,-1.564318605884826574e-01,-1.222260186028536338e-01,-3.420584198562902356e-02
3.208020050125313105e+00,-1.431869589520608499e-01,-1.085633851044262438e-01,-3.462357384763460610e-02
3.228070175438596312e+00,-1.298295147123302018e-01,-9.481512908383263327e-02,-3.501438562849756853e-02
3.248120300751879519e+00,-1.163699645208234046e-01,-8.099209361081255443e-02,-3.537787091001085016e-02
3.268170426065162726e+00,-1.028188432181277728e-01,-6.710518073268197103e-02,-3.571366248544580180e-02
3.288220551378445933e+00,-8.918677406135397390e-02,-5.316534287603100206e-02,-3.602143118532297184e-02
3.308270676691729140e+00,-7.548445875116890913e-02,-3.918357420868820440e-02,-3.630088454248070473e-02
3.328320802005012347e+00,-6.172266727847303819e-02,-2.517090196876419980e-02,-3.655176530970884186e-02
3.348370927318295553e+00,-4.791222761255531370e-02,-1.113837776761275947e-02,-3.677384984494255771e-02
3.368421052631578760e+00,-3.406401525397075719e-02,2.902931126428809783e-03,-3.696694638039956654e-02
3.388471177944861967e+00,-2.018894267627889538e-02,1.694195051665212115e-02,-3.713089319293101653e-02
3.408521303258145174e+00,-6.297948680973756812e-03,3.096760801205006297e-02,-3.726555669302381718e-02
3.428571428571428381e+00,7.598012310591533737e-03,4.496884175996725130e-02,-3.737082944937571843e-02
3.448621553884711588e+00,2.148798100365297004e-02,5.893460917043853720e-02,-3.744662816678556716e-02
3.468671679197994795e+00,3.536100398418107194e-02,7.285389562533534091e-02,-3.749289164115426898e-02
3.488721804511278002e+00,4.920614446022993776e-02,8.671572316545092529e-02,-3.750957870522098753e-02
3.508771929824561209e+00,6.301249296690744628e-02,1.005091591486732550e-01,-3.749666618176580868e-02
